sig_date,code,name,tag,regime,layers,in_top5,in_wide,buy_date,buy,g20,g60,g120,maxgain,peak_off,peak_date,dd_off,maxdd,post_peak_dd,r10,end_ret,dip_first
2008-01-30,002050,三花智控,电池/家电,CRASH,"all,none",True,False,2008-01-31,2.144,12.52,12.52,12.52,12.52,10,2008-02-21,97,-46.61,-52.55,11.56,-37.11,False
2008-01-30,002179,中航光电,军工,CRASH,"all,none",False,False,2008-01-31,2.378,1.37,1.37,1.37,1.37,9,2008-02-20,89,-52.83,-53.46,-1.15,-47.05,False
2008-01-30,600030,中信证券,证券,CRASH,"all,none",False,False,2008-01-31,15.795,15.27,31.84,31.84,31.84,60,2008-05-06,101,-37.11,-52.3,4.11,-26.98,False
2008-01-30,600089,特变电工,光伏,CRASH,"all,none",False,False,2008-01-31,5.569,10.77,10.77,10.77,10.77,9,2008-02-20,39,-43.8,-49.26,4.22,-27.93,False
2008-01-30,600111,北方稀土,有色金属,CRASH,"all,none",False,False,2008-01-31,4.354,21.02,21.02,21.02,21.02,11,2008-02-21,90,-36.85,-47.81,10.35,-14.9,False
2008-01-30,600276,恒瑞医药,创新药/医药,CRASH,"all,none",True,False,2008-01-31,3.451,5.89,5.89,5.89,5.89,8,2008-02-18,92,-31.44,-35.25,3.05,-15.36,False
2008-01-30,600487,亨通光电,通信,CRASH,"all,none",False,False,2008-01-31,3.632,6.09,6.09,6.09,6.09,12,2008-02-22,92,-64.08,-66.15,0.91,-55.4,False
2008-01-30,600549,厦门钨业,电池/有色金属,CRASH,"all,none",True,False,2008-01-31,9.771,8.12,8.12,8.12,8.12,9,2008-02-20,91,-61.16,-64.08,0.12,-42.93,False
2008-02-13,002050,三花智控,电池/家电,BEARISH,"all,none",True,False,2008-02-14,2.084,15.76,15.76,15.76,15.76,5,2008-02-21,119,-46.25,-53.57,6.44,-44.73,False
2008-02-13,002179,中航光电,军工,BEARISH,"all,none",False,False,2008-02-14,2.236,7.8,7.8,7.8,7.8,4,2008-02-20,120,-52.6,-56.03,1.64,-52.6,False
2008-02-13,600089,特变电工,光伏,BEARISH,"all,none",False,False,2008-02-14,5.501,12.15,12.15,12.15,12.15,4,2008-02-20,34,-43.1,-49.26,-0.4,-27.51,False
2008-02-13,600111,北方稀土,有色金属,BEARISH,"all,none",False,False,2008-02-14,4.452,18.36,18.36,18.36,18.36,6,2008-02-21,85,-38.23,-47.81,9.26,-25.79,False
2008-02-13,600276,恒瑞医药,创新药/医药,BEARISH,"all,none",True,False,2008-02-14,3.513,4.04,4.04,4.04,4.04,3,2008-02-18,87,-32.64,-35.25,-8.44,-17.69,False
2008-02-13,600549,厦门钨业,电池/有色金属,BEARISH,"all,none",True,False,2008-02-14,9.249,14.23,14.23,14.23,14.23,5,2008-02-20,87,-58.97,-64.08,-5.57,-41.83,False
2008-02-20,002050,三花智控,电池/家电,OSCILLATION,"all,none",True,False,2008-02-21,2.242,7.61,7.61,7.61,7.61,1,2008-02-21,115,-50.04,-53.57,-2.71,-48.42,False
2008-02-20,002179,中航光电,军工,OSCILLATION,"all,none",False,False,2008-02-21,2.289,4.42,4.42,4.42,4.42,8,2008-03-03,118,-57.59,-59.39,-2.35,-55.05,False
2008-02-20,600030,中信证券,证券,OSCILLATION,"all,none",False,False,2008-02-21,16.392,0.01,27.04,27.04,27.04,50,2008-05-06,120,-48.08,-59.13,-9.81,-45.75,False
2008-02-20,600089,特变电工,光伏,OSCILLATION,"all,none",False,False,2008-02-21,5.832,4.32,4.32,4.32,4.32,9,2008-03-04,30,-46.33,-48.55,-1.05,-32.91,False
2008-02-20,600111,北方稀土,有色金属,OSCILLATION,"all,none",False,False,2008-02-21,4.771,10.45,10.45,10.45,10.45,1,2008-02-21,119,-44.41,-49.67,1.99,-37.82,False
2008-02-20,600276,恒瑞医药,创新药/医药,OSCILLATION,"all,none",True,False,2008-02-21,3.519,3.33,3.33,3.33,3.33,1,2008-02-21,82,-32.76,-34.92,-5.04,-19.2,False
2008-02-20,600487,亨通光电,通信,OSCILLATION,"all,none",False,False,2008-02-21,3.633,6.06,6.06,6.06,6.06,2,2008-02-22,120,-66.83,-68.73,-1.06,-65.41,False
2008-02-20,600549,厦门钨业,电池/有色金属,OSCILLATION,"all,none",True,False,2008-02-21,9.907,0.63,0.63,0.63,0.63,2,2008-02-22,82,-61.69,-61.93,-8.87,-50.47,False
2008-02-27,002050,三花智控,电池/家电,CRASH,"all,none",True,False,2008-02-28,2.226,6.03,6.03,6.03,6.03,3,2008-03-03,119,-50.0,-52.84,-9.79,-48.72,False
2008-02-27,002179,中航光电,军工,CRASH,"all,none",False,False,2008-02-28,2.259,5.82,5.82,5.82,5.82,3,2008-03-03,113,-57.03,-59.39,-6.25,-50.76,False
2008-02-27,600111,北方稀土,有色金属,CRASH,"all,none",False,False,2008-02-28,4.866,7.87,7.87,7.87,7.87,4,2008-03-04,119,-46.35,-50.27,-7.32,-37.92,False
2008-02-27,600276,恒瑞医药,创新药/医药,CRASH,"all,none",True,False,2008-02-28,3.297,4.3,4.3,4.3,4.3,4,2008-03-04,77,-28.23,-31.19,-10.08,-9.34,False
2008-02-27,600487,亨通光电,通信,CRASH,"all,none",False,False,2008-02-28,3.501,7.84,7.84,7.84,7.84,3,2008-03-03,118,-68.23,-70.54,-14.84,-63.68,False
2008-02-27,600549,厦门钨业,电池/有色金属,CRASH,"all,none",True,False,2008-02-28,8.842,10.68,10.68,10.68,10.68,4,2008-03-04,77,-57.08,-61.22,-1.88,-42.63,False
2008-03-05,002050,三花智控,电池/家电,OSCILLATION,"all,none",True,False,2008-03-06,2.178,1.81,1.81,1.81,1.81,1,2008-03-06,117,-51.34,-52.21,-11.23,-49.75,False
2008-03-05,002179,中航光电,军工,OSCILLATION,"all,none",False,False,2008-03-06,2.22,1.91,1.91,1.91,1.91,1,2008-03-06,108,-56.26,-57.08,-12.96,-52.4,False
2008-03-05,600030,中信证券,证券,OSCILLATION,"all,none",False,False,2008-03-06,14.811,6.53,40.6,40.6,40.6,40,2008-05-06,114,-46.36,-61.85,-5.52,-37.43,False
2008-03-05,600089,特变电工,光伏,OSCILLATION,"all,none",False,False,2008-03-06,5.832,1.52,1.52,1.52,1.52,1,2008-03-06,20,-46.33,-47.14,-23.23,-39.71,False
2008-03-05,600111,北方稀土,有色金属,OSCILLATION,"all,none",False,False,2008-03-06,4.936,3.54,5.02,5.02,5.02,47,2008-05-15,120,-50.92,-53.26,-17.55,-49.31,False
2008-03-05,600276,恒瑞医药,创新药/医药,OSCILLATION,"all,none",True,False,2008-03-06,3.382,0.77,0.77,0.77,0.77,1,2008-03-06,72,-30.04,-30.57,-12.54,-25.66,False
2008-03-05,600487,亨通光电,通信,OSCILLATION,"all,none",False,False,2008-03-06,3.597,1.47,1.47,1.47,1.47,1,2008-03-06,113,-69.08,-69.53,-21.22,-67.42,False
2008-03-05,600549,厦门钨业,电池/有色金属,OSCILLATION,"all,none",True,False,2008-03-06,9.036,6.64,6.64,6.64,6.64,3,2008-03-10,72,-58.0,-60.61,-22.53,-48.98,False
2008-03-12,000657,中钨高新,有色金属,CRASH,"all,none",False,False,2008-03-13,8.16,0.0,0.0,0.0,0.0,1,2008-03-13,120,-86.85,-86.85,-25.41,-85.94,False
2008-03-12,002050,三花智控,电池/家电,CRASH,"all,none",True,False,2008-03-13,2.041,1.51,1.51,1.51,1.51,1,2008-03-13,120,-48.65,-49.41,-12.61,-48.11,False
2008-03-12,002179,中航光电,军工,CRASH,"all,none",False,False,2008-03-13,2.11,1.63,1.63,1.63,1.63,10,2008-03-26,103,-53.98,-54.72,0.3,-53.37,False
2008-03-12,600030,中信证券,证券,CRASH,"all,none",False,False,2008-03-13,13.994,5.15,48.81,48.81,48.81,35,2008-05-06,109,-43.23,-61.85,-6.45,-31.89,False
2008-03-12,600549,厦门钨业,电池/有色金属,CRASH,"all,none",True,False,2008-03-13,8.668,0.0,0.0,0.0,0.0,1,2008-03-13,67,-56.22,-56.22,-18.75,-47.68,False
2008-03-12,601898,中煤能源,煤炭,CRASH,"all,none",False,False,2008-03-13,12.509,8.72,12.21,12.21,12.21,48,2008-05-22,109,-47.89,-53.56,-4.97,-44.76,False
2008-03-19,000657,中钨高新,有色金属,CRASH,"all,none",False,False,2008-03-20,5.959,14.01,14.01,14.01,14.01,2,2008-03-21,115,-81.99,-84.2,-29.62,-76.37,False
2008-03-19,600030,中信证券,证券,CRASH,"all,none",False,False,2008-03-20,13.55,8.03,53.68,53.68,53.68,30,2008-05-06,104,-41.37,-61.85,-10.31,-30.66,False
2008-03-19,600549,厦门钨业,电池/有色金属,CRASH,"all,none",True,False,2008-03-20,6.733,19.49,19.49,19.49,19.49,3,2008-03-24,62,-43.63,-52.83,-14.66,-27.19,False
2008-03-26,000657,中钨高新,有色金属,OSCILLATION,"all,none",False,False,2008-03-27,5.959,0.0,0.0,0.0,0.0,1,2008-03-27,110,-81.99,-81.99,-21.41,-76.64,False
2008-03-26,002050,三花智控,电池/家电,OSCILLATION,"all,none",True,False,2008-03-27,1.768,9.78,9.78,9.78,9.78,3,2008-03-31,118,-50.31,-54.74,-2.77,-44.2,False
2008-03-26,002179,中航光电,军工,OSCILLATION,"all,none",False,False,2008-03-27,2.091,0.93,0.93,0.93,0.93,1,2008-03-27,118,-62.8,-63.14,-14.74,-53.77,False
2008-03-26,600030,中信证券,证券,OSCILLATION,"all,none",False,False,2008-03-27,12.559,36.59,65.81,65.81,65.81,25,2008-05-06,120,-39.41,-63.46,9.14,-36.24,False
2008-03-26,600089,特变电工,光伏,OSCILLATION,"all,none",False,False,2008-03-27,4.305,0.99,14.2,14.2,14.2,37,2008-05-22,6,-27.3,-35.43,-7.78,-9.45,True
2008-03-26,600111,北方稀土,有色金属,OSCILLATION,"all,none",False,False,2008-03-27,4.028,1.78,28.69,28.69,28.69,32,2008-05-15,117,-58.87,-68.04,-4.91,-48.69,False
2008-03-26,600276,恒瑞医药,创新药/医药,OSCILLATION,"all,none",True,False,2008-03-27,2.745,9.07,23.78,23.78,23.78,32,2008-05-14,118,-17.31,-33.2,1.64,-9.77,False
2008-03-26,600487,亨通光电,通信,OSCILLATION,"all,none",False,False,2008-03-27,2.876,2.86,2.86,2.86,2.86,1,2008-03-27,119,-65.25,-66.21,-17.37,-59.26,False
