code,name,period,hold_ratio,hold_ratio_change,n_funds
000001,平安银行,2025-12-31,68.7462,1.5976,660
000001,平安银行,2026-03-31,65.7811,-2.9651,87
000001,平安银行,2026-06-30,67.2594,1.4783,709
000002,万科A,2025-12-31,43.8478,-0.6986,274
000002,万科A,2026-03-31,40.7540,-3.0938,16
000002,万科A,2026-06-30,39.8293,-0.9247,274
000006,深振业A,2025-12-31,40.4659,0.5062,63
000006,深振业A,2026-03-31,40.1316,-0.3343,1
000006,深振业A,2026-06-30,37.8886,-2.2430,13
000007,全新好,2025-12-31,29.1404,0.8447,4
000007,全新好,2026-03-31,30.2386,1.0982,0
000007,全新好,2026-06-30,27.5561,-2.6825,12
000008,神州高铁,2025-12-31,41.8725,0.4640,14
000008,神州高铁,2026-03-31,41.6938,-0.1787,4
000008,神州高铁,2026-06-30,41.2345,-0.4593,4
000009,中国宝安,2025-12-31,50.3213,2.7807,259
000009,中国宝安,2026-03-31,44.6434,-5.6779,2
000009,中国宝安,2026-06-30,46.1824,1.5390,167
000010,*ST美丽,2025-12-31,24.9384,5.8145,5
000010,*ST美丽,2026-03-31,23.4502,-1.4882,0
000010,*ST美丽,2026-06-30,23.7425,0.2923,0
000011,深物业A,2025-12-31,69.6136,0.4768,46
000011,深物业A,2026-03-31,69.7303,0.1167,2
000011,深物业A,2026-06-30,68.8792,-0.8511,19
000012,南玻A,2025-12-31,43.6983,3.2796,100
000012,南玻A,2026-03-31,40.9395,-2.7588,0
000012,南玻A,2026-06-30,41.6815,0.7420,32
000014,沙河股份,2025-12-31,37.3477,1.1702,16
000014,沙河股份,2026-03-31,35.6202,-1.7275,1
000014,沙河股份,2026-06-30,36.5245,0.9043,35
000016,*ST康佳A,2025-12-31,33.5440,-0.0776,11
000016,*ST康佳A,2026-03-31,33.6907,0.1467,0
000016,*ST康佳A,2026-06-30,32.8213,-0.8694,0
000017,深中华A,2025-12-31,49.5809,27.1636,47
000017,深中华A,2026-03-31,51.4427,1.8618,1
000017,深中华A,2026-06-30,55.1476,3.7049,37
000019,深粮控股,2025-12-31,41.9859,2.0746,68
000019,深粮控股,2026-03-31,38.4133,-3.5726,0
000019,深粮控股,2026-06-30,40.0469,1.6336,43
000020,深华发A,2025-12-31,66.4994,-0.8280,20
000020,深华发A,2026-03-31,66.4268,-0.0726,1
000020,深华发A,2026-06-30,67.0899,0.6631,22
000021,深科技,2025-12-31,43.4479,0.8387,209
000021,深科技,2026-03-31,39.6464,-3.8015,6
000021,深科技,2026-06-30,39.6538,0.0074,235
000025,特力A,2025-12-31,55.8697,-0.4738,19
000025,特力A,2026-03-31,56.2299,0.3602,3
000025,特力A,2026-06-30,55.5965,-0.6334,17
000026,飞亚达,2025-12-31,54.2499,2.6504,96
000026,飞亚达,2026-03-31,51.0876,-3.1623,3
000026,飞亚达,2026-06-30,54.8735,3.7859,93
000027,深圳能源,2025-12-31,77.1122,0.3070,121
000027,深圳能源,2026-03-31,76.1226,-0.9896,2
000027,深圳能源,2026-06-30,77.1793,1.0567,186
000028,国药一致,2025-12-31,70.3952,1.4061,67
000028,国药一致,2026-03-31,69.0886,-1.3066,8
000028,国药一致,2026-06-30,69.0403,-0.0483,58
000029,深深房A,2025-12-31,71.3444,-0.3154,112
000029,深深房A,2026-03-31,70.2981,-1.0463,2
000029,深深房A,2026-06-30,70.4517,0.1536,53
000030,富奥股份,2025-12-31,79.1780,1.5067,143
000030,富奥股份,2026-03-31,76.6458,-2.5322,3
000030,富奥股份,2026-06-30,74.0172,-2.6286,49
000031,大悦城,2025-12-31,78.7701,-0.5322,37
000031,大悦城,2026-03-31,77.7525,-1.0176,1
000031,大悦城,2026-06-30,73.2882,-4.4643,29
000032,深桑达A,2025-12-31,54.9944,-3.4120,188
000032,深桑达A,2026-03-31,49.1853,-5.8091,14
000032,深桑达A,2026-06-30,51.6318,2.4465,277
000034,神州数码,2025-12-31,20.7722,3.5475,261
000034,神州数码,2026-03-31,15.8635,-4.9087,0
000034,神州数码,2026-06-30,17.9646,2.1011,288
000035,中国天楹,2025-12-31,50.7207,3.9643,135
000035,中国天楹,2026-03-31,44.0019,-6.7188,5
000035,中国天楹,2026-06-30,44.6132,0.6113,175
000036,华联控股,2025-12-31,36.0856,2.4825,61
000036,华联控股,2026-03-31,34.4833,-1.6023,8
000036,华联控股,2026-06-30,38.1227,3.6394,101
000037,深南电A,2025-12-31,41.5019,0.5548,6
000037,深南电A,2026-03-31,40.9471,-0.5548,0
000037,深南电A,2026-06-30,40.9660,0.0189,4
000039,中集集团,2025-12-31,40.1413,8.6539,394
000039,中集集团,2026-03-31,35.9805,-4.1608,28
000039,中集集团,2026-06-30,45.6411,9.6606,507
000042,中洲控股,2025-12-31,57.6999,-0.6452,16
000042,中洲控股,2026-03-31,55.4568,-2.2431,1
000042,中洲控股,2026-06-30,53.8177,-1.6391,4
000045,深纺织A,2025-12-31,56.2359,0.4003,26
000045,深纺织A,2026-03-31,55.5038,-0.7321,0
000045,深纺织A,2026-06-30,57.8314,2.3276,59
000048,京基智农,2025-12-31,65.8821,-2.6321,40
000048,京基智农,2026-03-31,62.4142,-3.4679,2
000048,京基智农,2026-06-30,63.7883,1.3741,78
000049,德赛电池,2025-12-31,49.0168,1.2532,119
000049,德赛电池,2026-03-31,46.8768,-2.1400,3
000049,德赛电池,2026-06-30,49.1069,2.2301,101
000050,深天马A,2025-12-31,64.3247,0.2839,308
000050,深天马A,2026-03-31,60.5351,-3.7896,5
000050,深天马A,2026-06-30,62.7697,2.2346,203
000055,方大集团,2025-12-31,18.1545,-0.0312,8
000055,方大集团,2026-03-31,17.6566,-0.4979,0
000055,方大集团,2026-06-30,18.3284,0.6718,12
000056,*ST皇庭,2025-12-31,20.0701,0.0279,4
000056,*ST皇庭,2026-03-31,21.2484,1.1783,0
000056,*ST皇庭,2026-06-30,21.2592,0.0108,0
000058,深赛格,2025-12-31,72.3054,0.6474,73
000058,深赛格,2026-03-31,71.3472,-0.9582,0
000058,深赛格,2026-06-30,71.7999,0.4527,51
000059,华锦股份,2025-12-31,55.9792,5.1986,123
000059,华锦股份,2026-03-31,51.4388,-4.5404,7
000059,华锦股份,2026-06-30,50.7147,-0.7241,143
000060,中金岭南,2025-12-31,40.4782,-2.3472,231
000060,中金岭南,2026-03-31,33.6400,-6.8382,6
000060,中金岭南,2026-06-30,36.6631,3.0231,281
000061,农产品,2025-12-31,71.2181,-1.0208,30
000061,农产品,2026-03-31,68.2330,-2.9851,3
000061,农产品,2026-06-30,69.0708,0.8378,78
000062,深圳华强,2025-12-31,49.3444,-7.6261,104
000062,深圳华强,2026-03-31,48.5738,-0.7706,1
000062,深圳华强,2026-06-30,53.4463,4.8725,119
000063,中兴通讯,2025-12-31,36.8865,0.7608,765
000063,中兴通讯,2026-03-31,31.2697,-5.6168,52
000063,中兴通讯,2026-06-30,33.5031,2.2334,536
000065,北方国际,2025-12-31,61.6726,3.6538,81
000065,北方国际,2026-03-31,60.5211,-1.1515,8
000065,北方国际,2026-06-30,58.9340,-1.5871,51
000066,中国长城,2025-12-31,45.1301,0.1029,202
000066,中国长城,2026-03-31,42.9118,-2.2183,8
000066,中国长城,2026-06-30,45.3864,2.4746,252
000068,华控赛格,2025-12-31,43.8401,-1.4949,11
000068,华控赛格,2026-03-31,43.9412,0.1011,1
000068,华控赛格,2026-06-30,44.5231,0.5819,21
000069,华侨城A,2025-12-31,56.2030,1.5110,123
000069,华侨城A,2026-03-31,55.3156,-0.8874,7
000069,华侨城A,2026-06-30,54.5819,-0.7337,96
000070,特发信息,2025-12-31,40.8792,2.6660,11
000070,特发信息,2026-03-31,44.0558,3.1766,6
000070,特发信息,2026-06-30,46.0914,2.0356,59
000078,ST海王,2025-12-31,48.4614,1.6325,16
000078,ST海王,2026-03-31,48.4752,0.0138,0
000078,ST海王,2026-06-30,46.2564,-2.2188,0
000088,盐田港,2025-12-31,72.4424,1.0330,103
000088,盐田港,2026-03-31,71.7486,-0.6938,2
000088,盐田港,2026-06-30,72.5508,0.8022,130
000089,深圳机场,2025-12-31,65.6011,3.1282,92
000089,深圳机场,2026-03-31,62.2801,-3.3210,1
000089,深圳机场,2026-06-30,62.4638,0.1837,83
000090,天健集团,2025-12-31,44.9761,1.0596,69
000090,天健集团,2026-03-31,43.9010,-1.0751,3
000090,天健集团,2026-06-30,45.3102,1.4092,78
000096,广聚能源,2025-12-31,57.7519,-0.3637,19
000096,广聚能源,2026-03-31,55.4630,-2.2889,2
000096,广聚能源,2026-06-30,55.9706,0.5076,35
000099,中信海直,2025-12-31,41.5943,0.5009,69
000099,中信海直,2026-03-31,39.2672,-2.3271,3
000099,中信海直,2026-06-30,39.7169,0.4497,54
000100,TCL科技,2025-12-31,29.2301,7.7543,926
000100,TCL科技,2026-03-31,19.2776,-9.9525,198
000100,TCL科技,2026-06-30,27.1781,7.9005,1094
000151,中成股份,2025-12-31,41.6043,-0.2352,20
000151,中成股份,2026-03-31,43.5990,1.9947,1
000151,中成股份,2026-06-30,40.9148,-2.6842,34
000153,丰原药业,2025-12-31,31.1268,0.4464,27
000153,丰原药业,2026-03-31,30.7362,-0.3906,1
000153,丰原药业,2026-06-30,31.0798,0.3436,34
000155,川能动力,2025-12-31,56.2985,0.7247,144
000155,川能动力,2026-03-31,54.9649,-1.3336,15
000155,川能动力,2026-06-30,55.6746,0.7097,201
000156,华数传媒,2025-12-31,56.0352,1.6777,97
000156,华数传媒,2026-03-31,53.9831,-2.0521,0
000156,华数传媒,2026-06-30,55.1281,1.1450,96
000157,中联重科,2025-12-31,58.5414,8.4670,768
000157,中联重科,2026-03-31,51.0161,-7.5253,103
000157,中联重科,2026-06-30,53.7646,2.7485,629
000158,常山北明,2025-12-31,35.2617,-0.0096,8
000158,常山北明,2026-03-31,35.3692,0.1075,0
000158,常山北明,2026-06-30,35.4281,0.0589,4
000159,国际实业,2025-12-31,26.1528,2.8178,52
000159,国际实业,2026-03-31,23.1948,-2.9580,0
000159,国际实业,2026-06-30,23.2278,0.0330,21
000166,申万宏源,2025-12-31,78.0705,3.0819,451
000166,申万宏源,2026-03-31,74.9811,-3.0894,30
000166,申万宏源,2026-06-30,76.4724,1.4913,359
000301,东方盛虹,2025-12-31,82.7333,4.6080,371
000301,东方盛虹,2026-03-31,79.3973,-3.3360,7
000301,东方盛虹,2026-06-30,83.5043,4.1070,493
000333,美的集团,2025-12-31,61.1210,2.2208,1919
000333,美的集团,2026-03-31,59.2274,-1.8936,915
000333,美的集团,2026-06-30,60.1041,0.8767,1733
000338,潍柴动力,2025-12-31,39.1074,13.6537,1055
000338,潍柴动力,2026-03-31,30.9569,-8.1505,329
