分段,股票名称,代码,距60日高,今日,所属ETF,趋势形态,RSI,SAR,MACD,OBV,均线粘合,换手,量比,备注
a1. 主线 DAG 当日选股（3只）（形态匹配仅标注，看涨才买入）,新·锡业股份,000960,-24.7%,+0.5%,有色金属,十字星前后,47,红↑1,绿柱收窄,上行,偏空,1.7%,1.0,短线
a1. 主线 DAG 当日选股（3只）（形态匹配仅标注，看涨才买入）,新·昊华科技,600378,-41.3%,+2.0%,化工,↑连跌1天→十字星→大阳,50,红↑10,绿柱收窄,下行,偏空,6.0%,0.9,短线
a1. 主线 DAG 当日选股（3只）（形态匹配仅标注，看涨才买入）,新·驰宏锌锗,600497,-19.3%,+1.4%,有色金属,↑连跌3天→十字星→大阳,54,绿↓4,金叉,上行,粘合,2.9%,1.4,短线

分段,股票名称,代码,距60日高,今日,所属ETF,趋势形态,RSI,SAR,MACD,OBV,均线粘合,换手,量比,备注
a2. smalltool 当日选股（0只）（盘中实时）（形态匹配仅标注，看涨才买入）,·今日无命中,—,,,,,,,,,,,,

分段,股票名称,代码,距60日高,今日,所属ETF,趋势形态,RSI,SAR,MACD,OBV,均线粘合,换手,量比,备注
a3. ETF 全行业扫描 当日选股（2只）（盘中实时）（形态匹配仅标注，看涨才买入）,航天电子,600879,-38.3%,-0.1%,军工,↓连跌5天→十字星→小阳,44,刚翻红,绿柱,下行,—,—,1.2,绿转红√ RSI43 SAR红↑2 MACD绿柱收窄
a3. ETF 全行业扫描 当日选股（2只）（盘中实时）（形态匹配仅标注，看涨才买入）,农业银行,601288,-2.1%,+0.4%,银行,十字星前后,59,刚翻红,红柱,上行,—,—,1.5,绿转红√ RSI58 SAR红↑1 MACD红柱扩大

分段,股票名称,代码,距60日高,今日,所属ETF,趋势形态,RSI,SAR,MACD,OBV,均线粘合,换手,量比,备注
a4. ETF top 5 当日选股（0只）（盘中实时）（形态匹配仅标注，看涨才买入）,·今日无命中,—,,,,,,,,,,,,

分段,股票名称,代码,距60日高,今日,所属ETF,趋势形态,RSI,SAR,MACD,OBV,均线粘合,换手,量比,备注
a5. ETF 当日选股（0只 ETF）（盘中实时）（形态匹配仅标注，看涨才买入）,·今日无命中,—,,,,,,,,,,,,

分段,名称,代码,状态,盈亏,应对/提示
b. 实仓镜像复盘与应对,—,—,—,—,今日无实仓记录

分段,方向,强度,板块,板块均涨,结论,判定时间
c. 板块判定对错核对,利好,强,油气开采/油服,-1.77%,× 未兑现,09:01
c. 板块判定对错核对,利空,强,航空(利空关注),-1.42%,√ 命中,09:01
c. 板块判定对错核对,利好,中,油运/航运,-2.86%,× 未兑现,09:01
c. 板块判定对错核对,利好,中,煤炭/煤化工,-1.83%,× 未兑现,09:01
c. 板块判定对错核对,利好,中,高股息红利,0.32%,√ 命中,09:01
c. 板块判定对错核对,利好,中,造纸(人民币升值),-2.47%,× 未兑现,09:01
c. 板块判定对错核对,利空,中,化工下游(利空关注),-3.00%,√ 命中,09:01
c. 板块判定对错核对,利空,中,成长科技(利空关注),-0.25%,√ 命中,09:01
c. 板块判定对错核对,利好,弱,农业/食品(CPI),-1.42%,× 未兑现,09:01
c. 板块判定对错核对,利好,弱,电力/公用,0.52%,√ 命中,09:01

分段,名称,代码,周期,入选日,入选价,现价,至今涨跌,来源
d. 近5日信号票巡诊（持有中标的今日表现）,超声电子,000823,超短,2026-09-08,17.14,20.57,+20.01%,prepared
d. 近5日信号票巡诊（持有中标的今日表现）,华正新材,603186,长线,2026-09-09,197.63,227.74,+15.24%,prepared+rou
d. 近5日信号票巡诊（持有中标的今日表现）,崇达技术,002815,超短,2026-09-09,17.93,20.08,+11.99%,prepared
d. 近5日信号票巡诊（持有中标的今日表现）,湖南黄金,002155,中线,2026-09-09,25.96,27.50,+5.93%,round
d. 近5日信号票巡诊（持有中标的今日表现）,永鼎股份,600105,超短,2026-09-10,40.38,42.20,+4.51%,prepared
d. 近5日信号票巡诊（持有中标的今日表现）,明星电力,600101,中线,2026-09-04,7.86,8.20,+4.33%,round
d. 近5日信号票巡诊（持有中标的今日表现）,深南电路,002916,长线,2026-09-09,383.52,396.68,+3.43%,prepared
d. 近5日信号票巡诊（持有中标的今日表现）,宝胜股份,600973,短线,2026-09-10,6.16,6.33,+2.76%,prepared+rou
d. 近5日信号票巡诊（持有中标的今日表现）,中天科技,600522,长线,2026-09-09,33.80,34.49,+2.04%,prepared
d. 近5日信号票巡诊（持有中标的今日表现）,华能国际,600011,超短,2026-09-08,6.84,6.95,+1.61%,prepared
d. 近5日信号票巡诊（持有中标的今日表现）,中国核电,601985,长线,2026-09-09,8.91,9.05,+1.57%,prepared+rou
d. 近5日信号票巡诊（持有中标的今日表现）,中京电子,002579,超短,2026-09-09,17.04,17.08,+0.23%,prepared
d. 近5日信号票巡诊（持有中标的今日表现）,东山精密,002384,长线,2026-09-09,194.15,194.42,+0.14%,prepared+rou
d. 近5日信号票巡诊（持有中标的今日表现）,长江电力,600900,中线,2026-09-04,28.42,28.45,+0.11%,round
d. 近5日信号票巡诊（持有中标的今日表现）,江西铜业,600362,长线,2026-09-04,45.86,45.78,-0.17%,prepared
d. 近5日信号票巡诊（持有中标的今日表现）,北方华创,002371,长线,2026-09-04,638.17,634.00,-0.65%,prepared+rou
d. 近5日信号票巡诊（持有中标的今日表现）,中航西飞,000768,超短,2026-09-04,23.70,23.54,-0.68%,dag
d. 近5日信号票巡诊（持有中标的今日表现）,特变电工,600089,长线,2026-09-08,18.91,18.72,-1.00%,prepared
d. 近5日信号票巡诊（持有中标的今日表现）,新易盛,300502,长线,2026-09-09,427.56,423.00,-1.07%,prepared
d. 近5日信号票巡诊（持有中标的今日表现）,工业富联,601138,超短,2026-09-09,64.95,64.07,-1.35%,prepared
