分段,股票名称,代码,距60日高,今日,所属ETF,趋势图谱,星后形态,RSI,SAR,MACD,OBV,均线粘合,换手,量比,趋势图,备注
主线 DAG 当日选股（0只）（形态匹配仅标注，看涨才买入）,·今日无命中,—,,,,,,,,,,,,,,

分段,股票名称,代码,距60日高,今日,所属ETF,趋势图谱,星后形态,RSI,SAR,MACD,OBV,均线粘合,换手,量比,趋势图,备注
smalltool 当日选股（0只）（盘中实时）（形态匹配仅标注，看涨才买入）,·今日无命中,—,,,,,,,,,,,,,,

分段,股票名称,代码,距60日高,今日,所属ETF,趋势图谱,星后形态,RSI,SAR,MACD,OBV,均线粘合,换手,量比,趋势图,备注
ETF 全行业扫描 当日选股（2只）（盘中实时）（形态匹配仅标注，看涨才买入）,航天电子,600879,-38.3%,-0.1%,军工,连跌5天→十字星,星后第1天小阳,44,刚翻红,绿柱,下行,—,—,1.2,↓下跌,绿转红√ RSI43 SAR红↑2 MACD绿柱收窄
ETF 全行业扫描 当日选股（2只）（盘中实时）（形态匹配仅标注，看涨才买入）,农业银行,601288,-2.1%,+0.4%,银行,,,59,刚翻红,红柱,上行,—,—,1.5,↑上涨,绿转红√ RSI58 SAR红↑1 MACD红柱扩大

分段,股票名称,代码,距60日高,今日,所属ETF,趋势图谱,星后形态,RSI,SAR,MACD,OBV,均线粘合,换手,量比,趋势图,备注
ETF top 5 当日选股（0只）（盘中实时）（形态匹配仅标注，看涨才买入）,·今日无命中,—,,,,,,,,,,,,,,

分段,股票名称,代码,距60日高,今日,所属ETF,趋势图谱,星后形态,RSI,SAR,MACD,OBV,均线粘合,换手,量比,趋势图,备注
ETF 当日选股（0只 ETF）（盘中实时）（形态匹配仅标注，看涨才买入）,·今日无命中,—,,,,,,,,,,,,,,
