分段,股票名称,代码,距60日高,今日,所属ETF,趋势图谱,星后形态,RSI,SAR,MACD,OBV,均线粘合,换手,量比,趋势图,机构股,备注
主线 DAG 当日选股（0只）（形态匹配仅标注，看涨才买入）,·今日无命中,—,,,,,,,,,,,,,,,

分段,股票名称,代码,距60日高,今日,所属ETF,趋势图谱,星后形态,RSI,SAR,MACD,OBV,均线粘合,换手,量比,趋势图,机构股,备注
smalltool 当日选股（3只）（盘中实时）（形态匹配仅标注，看涨才买入）,新··中国核电,601985,-0.8%,-0.3%,,,,57,红↑8,红柱扩大,上行,多头,0.3%,0.7,↑上涨,B·机构参与,长线
smalltool 当日选股（3只）（盘中实时）（形态匹配仅标注，看涨才买入）,新··中国巨石,600176,-39.7%,+2.8%,建材,连跌1天→十字星,星后第1天大阳,55,红↑9,红柱扩大,上行,偏空,6.6%,1.4,↑上涨,B·机构参与,短线
smalltool 当日选股（3只）（盘中实时）（形态匹配仅标注，看涨才买入）,新··中天科技,600522,-49.2%,+3.6%,通信,,,52,绿↓6,金叉,上行,粘合,7.8%,1.6,↑上涨·看涨吞没,C·机构撤退,短线

分段,股票名称,代码,距60日高,今日,所属ETF,趋势图谱,星后形态,RSI,SAR,MACD,OBV,均线粘合,换手,量比,趋势图,机构股,备注
ETF 全行业扫描 当日选股（2只）（盘中实时）（形态匹配仅标注，看涨才买入）,航天电子,600879,-38.3%,-0.1%,军工,连跌5天→十字星,星后第1天小阳,44,刚翻红,绿柱,下行,—,—,1.2,↓下跌,C·机构撤退,绿转红√ RSI43 SAR红↑2 MACD绿柱收窄
ETF 全行业扫描 当日选股（2只）（盘中实时）（形态匹配仅标注，看涨才买入）,农业银行,601288,-2.1%,+0.4%,银行,,,59,刚翻红,红柱,上行,—,—,1.5,↑上涨,C·散户票,绿转红√ RSI58 SAR红↑1 MACD红柱扩大

分段,股票名称,代码,距60日高,今日,所属ETF,趋势图谱,星后形态,RSI,SAR,MACD,OBV,均线粘合,换手,量比,趋势图,机构股,备注
ETF top 5 当日选股（0只）（盘中实时）（形态匹配仅标注，看涨才买入）,·今日无命中,—,,,,,,,,,,,,,,,

分段,股票名称,代码,距60日高,今日,所属ETF,趋势图谱,星后形态,RSI,SAR,MACD,OBV,均线粘合,换手,量比,趋势图,机构股,备注
ETF 当日选股（0只 ETF）（盘中实时）（形态匹配仅标注，看涨才买入）,·今日无命中,—,,,,,,,,,,,,,,,
